,block,stimulus_block,stimulus_side,key_press,responses,rt,stimulus,stimulus_2,stimulus_block,stimulus_side,sub_block,subject,tags1,tags2,time_elapsed,trial_type
0,,,,,,37880,,,,,,,,,37881,instructions
1,0,training,1,D,,4199.8,Training3.png,,training,1,0,5,,,42309,bRMS
2,0,training,0,K,,1642,Training10.png,,training,0,0,5,,,44692,bRMS
3,0,training,0,K,,1184.5,Training7.png,,training,0,0,5,,,46503,bRMS
4,0,training,1,D,,1133.9,Training6.png,,training,1,0,5,,,48264,bRMS
5,0,training,1,D,,1056.8,Training1.png,,training,1,0,5,,,49954,bRMS
6,0,training,1,D,,1237.7,Training8.png,,training,1,0,5,,,51806,bRMS
7,0,training,0,K,,1263.8,Training4.png,,training,0,0,5,,,53766,bRMS
8,0,training,0,K,,1104.5,Training2.png,,training,0,0,5,,,55488,bRMS
9,0,training,1,D,,1734,Training5.png,,training,1,0,5,,,57816,bRMS
10,0,training,1,D,,1094.7,Training9.png,,training,1,0,5,,,59503,bRMS
11,,,,,,18838,,,,,,,,,78751,instructions
12,1,A,0,K,,3102.2,f42887_e_298 copy.png,f42887_e_231 copy.png,A,0,0,5,['A'],['B'],82048,bRMS
13,1,A,0,D,,1988.3,f42887_e_025 copy.png,f42887_e_289 copy.png,A,0,0,5,['A'],['B'],84627,bRMS
14,1,A,1,K,,2150.5,f42887_e_025 copy.png,f42887_e_054 copy.png,A,1,0,5,['A'],['B'],87380,bRMS
15,1,A,1,K,,1494.8,f42887_e_156 copy.png,f42887_e_080 copy.png,A,1,0,5,['A'],['B'],89525,bRMS
16,1,A,1,D,,999.8,f42887_e_121 copy.png,f42887_e_166 copy.png,A,1,0,5,['A'],['B'],91144,bRMS
17,1,A,0,K,,1774.3,f42887_e_252 copy.png,f42887_e_161 copy.png,A,0,0,5,['A'],['B'],93547,bRMS
18,1,A,1,D,,1533.9,f42887_e_005 copy.png,f42887_e_056 copy.png,A,1,0,5,['A'],['B'],95716,bRMS
19,1,A,1,K,,1293.9,f42887_e_058 copy.png,f42887_e_065 copy.png,A,1,0,5,['A'],['B'],97670,bRMS
20,1,A,0,K,,2533.9,f42887_e_127 copy.png,f42887_e_191 copy.png,A,0,0,5,['A'],['B'],100807,bRMS
21,1,A,1,K,,1218.4,f42887_e_252 copy.png,f42887_e_004 copy.png,A,1,0,5,['A'],['B'],102881,bRMS
22,1,A,1,K,,1471,f42887_e_058 copy.png,f42887_e_120 copy.png,A,1,0,5,['A'],['B'],104980,bRMS
23,1,A,1,K,,1361.8,f42887_e_298 copy.png,f42887_e_200 copy.png,A,1,0,5,['A'],['B'],107121,bRMS
24,1,A,0,K,,1065,f42887_e_064 copy.png,f42887_e_295 copy.png,A,0,0,5,['A'],['B'],108866,bRMS
25,1,A,0,K,,1004.5,f42887_e_064 copy.png,f42887_e_287 copy.png,A,0,0,5,['A'],['B'],110482,bRMS
26,1,A,0,K,,1052.3,f42887_e_156 copy.png,f42887_e_235 copy.png,A,0,0,5,['A'],['B'],112189,bRMS
27,1,A,1,K,,857.7,f42887_e_121 copy.png,f42887_e_016 copy.png,A,1,0,5,['A'],['B'],113675,bRMS
